remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Unrolling loop 'CHECK_DISTANCE_LOOP' (../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:83:9) in function 'ContourApproximation' completely with a factor of 249
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:152:0: Inlining function 'isDiffer' into 'PointNbReduction'
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Inlining function 'PointNbReduction' into 'ContourApproximation'
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Inlining function 'isDiffer' into 'ContourApproximation'
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Applying array_partition to 'new_p': Complete partitioning on dimension 1.
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_249' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_248' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_247' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_246' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_245' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_244' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_243' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_242' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_241' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_240' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_239' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_238' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_237' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_236' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_235' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_234' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_233' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_232' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_231' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_230' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_229' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_228' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_227' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_226' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_225' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_224' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_223' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_222' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_221' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_220' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_219' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_218' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_217' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_216' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_215' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_214' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_213' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_212' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_211' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_210' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_209' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_208' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_207' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_206' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_205' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_204' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_203' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_202' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_201' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_200' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_199' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_198' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_197' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_196' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_195' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_194' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_193' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_192' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_191' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_190' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_189' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_188' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_187' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_186' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_185' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_184' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_183' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_182' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_181' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_180' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_179' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_178' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_177' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_176' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_175' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_174' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_173' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_172' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_171' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_170' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_169' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_168' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_167' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_166' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_165' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_164' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_163' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_162' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_161' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_160' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_159' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_158' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_157' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_156' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_155' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_154' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_153' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_152' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_151' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_150' with compact=bit mode in 64-bits
remark: ../../C_PROGRAM/3.ContourApproximation/contour_approximation.c:55:0: Aggregating scalar variable 'new_p_149' with compact=bit mode in 64-bits
